,Carimbo de data/hora,Qual o seu nível de escolaridade? Escolha a sua maior titularidade,Gosto de ler livros e revistas,Tenho facilidade em aprender novos idiomas,Apresento ideias claramente quando escrevo ou falo,Gosto de jogos de palavras e quebra-cabeças verbais,Desfruto de resolver problemas matemáticos,Gosto de jogos que envolvem estratégia e lógica,Consigo reconhecer padrões facilmente,Penso de forma analítica e sistemática,Tenho facilidade em interpretar mapas e gráficos,"Gosto de desenhar, pintar ou criar arte visual",Consigo imaginar objetos em diferentes perspectivas,Aprendo melhor com recursos visuais,Gosto de atividades físicas e esportes,Aprendo melhor fazendo e movimentando-me,Tenho boa coordenação motora,Desfruto de trabalhos manuais como construir ou consertar coisas,A música é uma parte importante da minha vida,Toco um instrumento musical ou canto,Consigo lembrar melodias com facilidade,Percebo padrões e ritmos em sons ao meu redor,Sou bom em entender os sentimentos dos outros,Gosto de trabalhar em grupo e colaborar com os colegas,Tenho facilidade em resolver conflitos entre pessoas,Sou considerado um líder natural entre meus pares,Tenho consciência das minhas emoções e pensamentos,Gosto de refletir sobre meus objetivos e valores pessoais,Prefiro trabalhar sozinho em certas tarefas,Entendo meus pontos fortes e fracos,Sinto-me conectado com a natureza,"Tenho interesse em plantas, animais ou o meio ambiente","Gosto de atividades ao ar livre, como caminhadas ou jardinagem",Percebo facilmente mudanças no ambiente ao meu redor
3,2024/11/13 7:24:57 PM GMT-4,Pós graduação  (strictu sensu) Mestrado,4 = Concordo,1 = Discordo totalmente,3 = Neutro,4 = Concordo,3 = Neutro,3 = Neutro,2 = Discordo,3 = Neutro,3 = Neutro,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,3 = Neutro,3 = Neutro,4 = Concordo,5 = Concordo totalmente,3 = Neutro,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,3 = Neutro,4 = Concordo,5 = Concordo totalmente,2 = Discordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo
4,2024/11/14 9:00:26 AM GMT-4,Técnico,4 = Concordo,2 = Discordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,3 = Neutro,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,2 = Discordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo
5,2024/11/14 10:18:38 AM GMT-4,Pós graduação  (strictu sensu) Mestrado,5 = Concordo totalmente,2 = Discordo,2 = Discordo,3 = Neutro,2 = Discordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,3 = Neutro,3 = Neutro,2 = Discordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,2 = Discordo,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo
6,2024/11/14 4:55:37 PM GMT-4,Técnico,3 = Neutro,1 = Discordo totalmente,5 = Concordo totalmente,1 = Discordo totalmente,2 = Discordo,3 = Neutro,4 = Concordo,5 = Concordo totalmente,2 = Discordo,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,1 = Discordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente
7,2024/11/14 5:01:33 PM GMT-4,Pós graduação  (lato sensu),5 = Concordo totalmente,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro,4 = Concordo,5 = Concordo totalmente,2 = Discordo,2 = Discordo,3 = Neutro,4 = Concordo,4 = Concordo,2 = Discordo,3 = Neutro,3 = Neutro,4 = Concordo,2 = Discordo,3 = Neutro,2 = Discordo,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,4 = Concordo,2 = Discordo,3 = Neutro
8,2024/11/14 5:11:45 PM GMT-4,Superior,4 = Concordo,2 = Discordo,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,2 = Discordo,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente
9,2024/11/14 5:34:20 PM GMT-4,Pós graduação  (lato sensu),4 = Concordo,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,3 = Neutro,5 = Concordo totalmente,4 = Concordo,2 = Discordo,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,2 = Discordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,3 = Neutro,3 = Neutro,5 = Concordo totalmente
10,2024/11/14 5:46:51 PM GMT-4,Pós graduação  (lato sensu),5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,4 = Concordo,3 = Neutro,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,3 = Neutro,5 = Concordo totalmente,4 = Concordo,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente
11,2024/11/15 6:29:12 AM GMT-4,Doutorado,5 = Concordo totalmente,2 = Discordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,2 = Discordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,3 = Neutro,2 = Discordo,3 = Neutro,1 = Discordo totalmente,2 = Discordo,2 = Discordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente
12,2024/11/15 9:29:25 PM GMT-4,Pós graduação  (lato sensu),5 = Concordo totalmente,3 = Neutro,4 = Concordo,5 = Concordo totalmente,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,3 = Neutro,5 = Concordo totalmente,3 = Neutro,4 = Concordo,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,4 = Concordo,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro
13,2024/11/15 9:35:49 PM GMT-4,Técnico,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,3 = Neutro,5 = Concordo totalmente,3 = Neutro,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,3 = Neutro,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,1 = Discordo totalmente,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente
14,2024/11/15 9:37:29 PM GMT-4,Técnico,4 = Concordo,3 = Neutro,4 = Concordo,3 = Neutro,2 = Discordo,4 = Concordo,3 = Neutro,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro,3 = Neutro,3 = Neutro,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro,3 = Neutro,4 = Concordo,3 = Neutro,3 = Neutro,3 = Neutro,3 = Neutro,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,3 = Neutro
15,2024/11/15 9:38:54 PM GMT-4,Técnico,4 = Concordo,3 = Neutro,3 = Neutro,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,3 = Neutro,4 = Concordo,3 = Neutro,4 = Concordo,2 = Discordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,2 = Discordo,5 = Concordo totalmente,3 = Neutro,4 = Concordo,5 = Concordo totalmente,3 = Neutro,3 = Neutro,4 = Concordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo
16,2024/11/15 9:56:36 PM GMT-4,Superior,4 = Concordo,2 = Discordo,3 = Neutro,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo,2 = Discordo,3 = Neutro,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,3 = Neutro,5 = Concordo totalmente,3 = Neutro,4 = Concordo,2 = Discordo,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo
17,2024/11/15 9:57:36 PM GMT-4,Técnico,5 = Concordo totalmente,3 = Neutro,3 = Neutro,4 = Concordo,2 = Discordo,4 = Concordo,4 = Concordo,3 = Neutro,3 = Neutro,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,4 = Concordo,3 = Neutro,5 = Concordo totalmente,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,3 = Neutro,4 = Concordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,3 = Neutro,5 = Concordo totalmente,4 = Concordo,3 = Neutro
18,2024/11/15 10:11:17 PM GMT-4,Técnico,4 = Concordo,4 = Concordo,3 = Neutro,3 = Neutro,2 = Discordo,4 = Concordo,4 = Concordo,3 = Neutro,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,3 = Neutro,3 = Neutro,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,3 = Neutro,3 = Neutro,4 = Concordo,5 = Concordo totalmente,4 = Concordo,3 = Neutro,5 = Concordo totalmente,3 = Neutro,5 = Concordo totalmente,5 = Concordo totalmente
19,2024/11/15 11:07:32 PM GMT-4,Técnico,4 = Concordo,1 = Discordo totalmente,3 = Neutro,4 = Concordo,3 = Neutro,5 = Concordo totalmente,4 = Concordo,1 = Discordo totalmente,3 = Neutro,4 = Concordo,5 = Concordo totalmente,4 = Concordo,1 = Discordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,4 = Concordo,1 = Discordo totalmente,4 = Concordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo,3 = Neutro,1 = Discordo totalmente,3 = Neutro,4 = Concordo,3 = Neutro,3 = Neutro,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo
20,2024/11/16 9:18:01 AM GMT-4,Técnico,3 = Neutro,3 = Neutro,4 = Concordo,2 = Discordo,4 = Concordo,5 = Concordo totalmente,3 = Neutro,3 = Neutro,4 = Concordo,2 = Discordo,4 = Concordo,4 = Concordo,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,4 = Concordo,5 = Concordo totalmente,1 = Discordo totalmente,3 = Neutro,4 = Concordo,3 = Neutro,4 = Concordo,3 = Neutro,2 = Discordo,3 = Neutro,5 = Concordo totalmente,4 = Concordo,4 = Concordo,4 = Concordo,3 = Neutro,5 = Concordo totalmente,3 = Neutro
21,2024/11/16 9:27:37 AM GMT-4,Técnico,2 = Discordo,2 = Discordo,2 = Discordo,2 = Discordo,2 = Discordo,4 = Concordo,3 = Neutro,4 = Concordo,1 = Discordo totalmente,3 = Neutro,2 = Discordo,5 = Concordo totalmente,3 = Neutro,4 = Concordo,1 = Discordo totalmente,2 = Discordo,2 = Discordo,2 = Discordo,1 = Discordo totalmente,2 = Discordo,3 = Neutro,2 = Discordo,2 = Discordo,3 = Neutro,4 = Concordo,4 = Concordo,5 = Concordo totalmente,4 = Concordo,2 = Discordo,2 = Discordo,2 = Discordo,3 = Neutro
22,2024/11/16 12:05:47 PM GMT-4,Técnico,4 = Concordo,4 = Concordo,2 = Discordo,5 = Concordo totalmente,2 = Discordo,5 = Concordo totalmente,3 = Neutro,2 = Discordo,2 = Discordo,5 = Concordo totalmente,4 = Concordo,5 = Concordo totalmente,2 = Discordo,5 = Concordo totalmente,2 = Discordo,4 = Concordo,5 = Concordo totalmente,1 = Discordo totalmente,5 = Concordo totalmente,5 = Concordo totalmente,3 = Neutro,4 = Concordo,2 = Discordo,2 = Discordo,2 = Discordo,5 = Concordo totalmente,5 = Concordo totalmente,4 = Concordo,2 = Discordo,5 = Concordo totalmente,4 = Concordo,4 = Concordo
